Variable,Importance,Sign
research,4.671599287375276,NEG
relaxing,4.41797007685866,NEG
player,4.343190333620093,POS
time,4.080033193381644,NEG
account,3.7316297582699662,POS
fun,3.3067343307832076,NEG
plays,3.1122461887962376,NEG
resources,3.023313039048089,NEG
crafting,2.762359549751419,NEG
entire,2.6779550061298822,POS
previous,2.657850730185372,NEG
community,2.6016569159800005,NEG
money,2.457725772468252,POS
playing,2.435053079117903,NEG
crossing,2.4179516423118486,NEG
cloud,2.3561723879369185,NEG
reviews,2.1861668349153223,NEG
review,2.051694020433069,POS
major,1.974401834820417,POS
kids,1.9709865259306592,POS
catch,1.9580654723675863,NEG
villager,1.9210674359508484,NEG
start,1.7955360598913972,NEG
aspect,1.6594214864875532,NEG
1st,1.6472037327185363,NEG
craft,1.618237177079015,POS
ruined,1.5483322651752518,POS
build,1.5385304615934954,POS
essentially,1.5178335460713401,POS
idea,1.4873329761614644,POS
stuck,1.4492990679874873,POS
amazing,1.4470268887913273,NEG
boring,1.3561950978304338,POS
locked,1.3508926982485032,POS
brother,1.3486127181946115,NEG
plan,1.310359296868747,POS
lost,1.2938331397793312,POS
t,1.289128554085344,POS
console,1.2703378403734997,POS
wait,1.2537863405846978,POS
giving,1.2490005557480899,NEG
company,1.2417001602905025,POS
game,1.232268268506162,NEG
quests,1.2296680003350382,POS
worse,1.1989292343787237,POS
sense,1.1886645687392412,NEG
gorgeous,1.1640046963224426,NEG
complaining,1.116866627910245,NEG
couch,1.0806024312085065,POS
franchise,1.0730546998562251,NEG
leaf,1.0681994911415342,POS
play,1.0548663673123309,POS
extremely,1.0334366353940696,POS
people,0.9984078563824252,POS
past,0.9748402692771264,NEG
perfect,0.9656988017743691,NEG
island,0.9323503034114069,POS
super,0.9194275796518496,POS
saves,0.9182829075545015,POS
buy,0.8986162048827983,POS
hard,0.893399575836521,NEG
quality,0.8898733165434036,NEG
lack,0.8691027799027357,POS
broken,0.8447612080239919,POS
system,0.835913742195571,POS
means,0.825840880180388,POS
left,0.8048093055986283,POS
items,0.7995959990635383,POS
disappointing,0.7671660236530934,POS
players,0.7281493844228438,NEG
bought,0.7268225546549556,POS
set,0.7204033300175808,NEG
profiles,0.6989346961954883,POS
sister,0.6937988202580337,POS
poor,0.6697629754634538,POS
upset,0.6600125227988675,NEG
rate,0.6575616847248443,NEG
waiting,0.6569603327970102,NEG
nintendo,0.6526473180776403,POS
switch,0.6249145231362222,POS
negative,0.6131906946954064,NEG
customization,0.5847854930763291,POS
pretty,0.5588200881773926,NEG
add,0.5587412339688164,POS
wonderful,0.552684071238664,NEG
greedy,0.5521257987866812,POS
basically,0.5493764335784055,POS
version,0.5335457108342722,POS
user,0.5303457259948388,POS
beautiful,0.5242106886647442,NEG
profile,0.523077565568892,POS
islands,0.5174013607367985,NEG
stuff,0.5113763314062086,POS
decided,0.5082932991050064,NEG
update,0.5076681764387486,POS
real,0.49637693322204185,POS
release,0.4787207572388655,NEG
enjoy,0.45294063100837734,POS
wife,0.4504236292410378,POS
series,0.43813206742869343,NEG
advance,0.406017443370689,POS
score,0.40278931729029366,POS
created,0.40105978698767514,POS
character,0.39240917734712244,POS
matter,0.3906349280988418,NEG
representative,0.38975248431866333,NEG
simple,0.384267122480787,NEG
reason,0.3784268702672613,NEG
design,0.3760944950240589,POS
op,0.37116302478661406,NEG
spend,0.3667929322155066,POS
content,0.3544702039756854,NEG
contribute,0.3310934655052381,POS
allowing,0.31094212515027236,POS
amount,0.3053178037782947,NEG
purchase,0.300489490182631,POS
grab,0.29202514541420205,NEG
move,0.2916754946132673,POS
